gene,n_both,n_inv,rate,enrichment
HAPSTR1,222,1,0.0045045045045045045,0.08645274642077566
CCDC93,23,1,0.043478260869565216,0.8344569437135737
GPALPP1,7,1,0.14285714285714285,2.7417871007731707
CCNQ,66,1,0.015151515151515152,0.2907956015971545
GLIPR2,50,1,0.02,0.38385019410824395
CDK13,211,1,0.004739336492890996,0.09095976163702463
FLI1,16,1,0.0625,1.1995318565882622
CNOT11,53,1,0.018867924528301886,0.3621228246304188
FIGNL1,61,1,0.01639344262295082,0.31463130664610156
FBXO42,5,1,0.2,3.8385019410824395
COMMD10,7,1,0.14285714285714285,2.7417871007731707
EXOC7,21,1,0.047619047619047616,0.9139290335910569
CYC1,4,1,0.25,4.798127426353049
ERCC4,111,1,0.009009009009009009,0.17290549284155132
DNAJC24,37,1,0.02702702702702703,0.518716478524654
DOHH,113,1,0.008849557522123894,0.16984521863196633
DR1,24,1,0.041666666666666664,0.7996879043921747
ELP5,35,1,0.02857142857142857,0.5483574201546342
ELP1,20,1,0.05,0.9596254852706099
EDC3,52,1,0.019230769230769232,0.3690867251040807
ICOS,25,1,0.04,0.7677003882164879
EIF3L,12,1,0.08333333333333333,1.5993758087843495
KHDRBS1,19,1,0.05263157894736842,1.0101320897585366
ARPC3,29,1,0.034482758620689655,0.6618106794969723
LIG1,18,1,0.05555555555555555,1.0662505391895665
ARPC2,56,1,0.017857142857142856,0.34272338759664633
KMT5B,189,1,0.005291005291005291,0.10154767039900632
ALG8,24,1,0.041666666666666664,0.7996879043921747
L2HGDH,20,1,0.05,0.9596254852706099
MAPRE3,9,1,0.1111111111111111,2.132501078379133
ZFYVE21,29,0,0.0,0.0
COPRS,26,0,0.0,0.0
DCAF5,10,0,0.0,0.0
CYP4V2,2,0,0.0,0.0
ZNF280D,14,0,0.0,0.0
CTDSPL2,127,0,0.0,0.0
CSNK2A1,49,0,0.0,0.0
ZNF274,106,0,0.0,0.0
CREB1,82,0,0.0,0.0
TFDP1,16,0,0.0,0.0
ZHX3,19,0,0.0,0.0
COMMD8,2,0,0.0,0.0
ZEB1,122,0,0.0,0.0
DDX17,55,0,0.0,0.0
TASOR,107,0,0.0,0.0
COA3,13,0,0.0,0.0
TENT2,2,0,0.0,0.0
TET2,17,0,0.0,0.0
CNOT4,55,0,0.0,0.0
ZNF148,227,0,0.0,0.0
WNK1,23,0,0.0,0.0
DEK,12,0,0.0,0.0
STAG2,47,0,0.0,0.0
SLC25A22,4,0,0.0,0.0
ACTR5,114,0,0.0,0.0
ADAM19,33,0,0.0,0.0
ECHS1,33,0,0.0,0.0
SLC35B1,17,0,0.0,0.0
SMAD4,21,0,0.0,0.0
ADNP2,31,0,0.0,0.0
DPH2,5,0,0.0,0.0
SMARCD1,6,0,0.0,0.0
DPH1,8,0,0.0,0.0
AIP,26,0,0.0,0.0
SMG8,204,0,0.0,0.0
DNAJC3,10,0,0.0,0.0
SNAP23,10,0,0.0,0.0
SP1,46,0,0.0,0.0
