gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
KIFAP3,430,11,0.02558139534883721,8,0.04173419773095624,0.009106037738682533,0.1149657315748304,0.02478344291765143,0.22033787427304474,0.6129600361255362,0.4740794163516925,2.9369434597547856e-20,False,down,5.384396342883774e-20
WIZ,74,0,0.0,1,0.036414565826330535,0.03377957269382942,0.11714099995754229,0.0712558739580927,0.22033787427304474,0.0,5.600458947885339e-10,1.0758212775769914e-99,False,down,4.3032851103079656e-99
NR2C2,75,0,0.0,1,0.03643497757847534,0.034099172456867805,0.11773021870290001,0.0712558739580927,0.22033787427304474,0.0,5.584640229811338e-10,9.958219414373245e-100,False,down,4.044569115991595e-99
DOP1A,75,0,0.0,1,0.03643497757847534,0.034099172456867805,0.11773021870290001,0.0712558739580927,0.22033787427304474,0.0,5.584640229731836e-10,9.958219411380953e-100,False,down,4.044569115991595e-99
SHLD1,76,0,0.0,1,0.03645541222658441,0.034548302525135854,0.11851506873777407,0.0712558739580927,0.22033787427304474,0.0,5.569074754676426e-10,9.2289022539475e-100,False,down,3.867349515939905e-99
MLST8,76,0,0.0,1,0.03645541222658441,0.034548302525135854,0.11851506873777407,0.0712558739580927,0.22033787427304474,0.0,5.569074754675457e-10,9.22890225389676e-100,False,down,3.867349515939905e-99
DPH5,144,3,0.020833333333333332,4,0.04998503442083209,0.09280993698227497,0.12504828908926813,0.16059416477550678,0.23059487619129915,0.41679141716566864,0.4838980866213918,3.805731218419873e-21,False,down,7.025965326313613e-21
C1D,146,3,0.02054794520547945,4,0.05001497454327643,0.09307161822216871,0.12577902337707225,0.16059416477550678,0.23059487619129915,0.41083586252153226,0.4757368051750167,3.4834413741405366e-22,False,down,6.522188104773771e-22
ACAD11,87,1,0.011494252873563218,2,0.04926108374384237,0.09239606441962547,0.13299665310391007,0.16059416477550678,0.24124911533074964,0.2333333333333333,0.29386575107551005,6.105965147447296e-44,False,down,1.4140129815141107e-43
HOXB2,105,1,0.009523809523809525,3,0.039830807190694394,0.04588376033124955,0.13390999065389775,0.09039785617499911,0.24124911533074964,0.23910661609776657,0.2335381804906015,1.425648095294037e-68,False,down,3.8801144036868635e-68
YTHDF2,471,13,0.027600849256900213,8,0.041710708187657534,0.012698177231758274,0.13433189376371285,0.03223383451138639,0.24124911533074964,0.6617209454397968,0.5028180913520897,1.2349379179844454e-16,False,down,2.076583505400596e-16
STK11,160,6,0.0375,5,0.019318181818181818,0.48084985629062227,0.13546995793885822,0.5959829204728839,0.24164911416120657,1.9411764705882353,0.867723100873747,0.06053798013504798,False,up,0.06659177814855277
ERCC4,111,1,0.009009009009009009,3,0.03991522430236665,0.031849948864382666,0.1378844764481972,0.07006988750164186,0.2443053810894232,0.2257035796858806,0.21822278021468183,2.6947893156619777e-77,False,down,8.084367946985933e-77
BCS1L,128,10,0.078125,4,0.04766160262138815,0.22787837146658385,0.1394566510959377,0.3360887713250175,0.24544370592885031,1.63916015625,1.9838381732337362,5.162125067437581e-18,False,up,8.849357258464423e-18
