gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
IPO9,6,0,0.0,0,0.06585365853658537,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
IRF1,33,0,0.0,4,0.030636668262326472,0.0,0.0,1.0,1.0,False,0.623505716918842,1.0,False,down,False,0,0
IRF2,18,0,0.0,2,0.05386178861788618,0.0,0.0,1.0,1.0,False,0.6184452873856796,1.0,False,down,False,0,0
IRF2BP1,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
IRF9,39,0,0.0,4,0.030724915986557848,0.0,0.0,1.0,1.0,False,0.6298157680095292,1.0,False,down,False,0,0
ITGB2,7,0,0.0,0,0.06601466992665037,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
JOSD2,25,0,0.0,3,0.03443429374560787,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
KAT6A,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
KATNIP,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
KDM2A,66,0,0.0,6,0.04210286754665453,0.0,0.0,1.0,1.0,False,0.11424661142178949,0.3671362460793964,False,down,False,0,0
KEAP1,48,0,0.0,5,0.03243050605844619,0.0,0.0,1.0,1.0,False,0.404112501892262,0.9002621710636174,False,down,False,0,0
KMT2C,114,0,0.0,7,0.041510409931462565,0.0,0.0,1.0,1.0,False,0.015035501880111747,0.08033225559527199,False,down,False,0,0
KTI12,170,0,0.0,8,0.04045709418695436,0.0,0.0,1.0,1.0,False,0.002236219811221153,0.01830323923384863,True,down,False,0,0
L3MBTL2,146,0,0.0,7,0.04168289832489287,0.0,0.0,1.0,1.0,False,0.004650776542480244,0.029582774502168147,True,down,False,0,0
LAMTOR3,23,0,0.0,3,0.0343859649122807,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
LAT2,25,0,0.0,3,0.03443429374560787,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
LUC7L3,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
LZTS1,19,0,0.0,2,0.05391658189216684,0.0,0.0,1.0,1.0,False,0.6185314560199646,1.0,False,down,False,0,0
MAPKAP1,20,0,0.0,2,0.0539714867617108,0.0,0.0,1.0,1.0,False,0.6196956530005753,1.0,False,down,False,0,0
MAU2,25,0,0.0,3,0.03443429374560787,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MAX,25,0,0.0,3,0.03443429374560787,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MDM4,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MEAF6,23,0,0.0,3,0.0343859649122807,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MED14,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MFHAS1,8,0,0.0,0,0.0661764705882353,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MGA,41,0,0.0,5,0.0323498044792037,0.0,0.0,1.0,1.0,False,0.6405557265680484,1.0,False,down,False,0,0
MIA2,45,0,0.0,5,0.032395870416518334,0.0,0.0,1.0,1.0,False,0.401491704966189,0.9002621710636174,False,down,False,0,0
MICOS10,29,0,0.0,4,0.030578117534639272,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MLST8,76,0,0.0,6,0.04219890510948905,0.0,0.0,1.0,1.0,False,0.0758084853709968,0.266650663244059,False,down,False,0,0
MORC2,29,0,0.0,4,0.030578117534639272,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MPI,16,0,0.0,2,0.0537525354969574,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
MSL2,38,0,0.0,4,0.030710172744721688,0.0,0.0,1.0,1.0,False,0.6280639224071687,1.0,False,down,False,0,0
MTMR10,18,0,0.0,2,0.05386178861788618,0.0,0.0,1.0,1.0,False,0.6184452873856796,1.0,False,down,False,0,0
NAA40,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
NCBP3,46,0,0.0,5,0.032407407407407406,0.0,0.0,1.0,1.0,False,0.4020298857736963,0.9002621710636174,False,down,False,0,0
NDUFB11,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
NFE2L1,9,0,0.0,0,0.06633906633906633,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
NFKB1,8,0,0.0,0,0.0661764705882353,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
NR2C2,75,0,0.0,6,0.04218928164196123,0.0,0.0,1.0,1.0,False,0.07528719069489997,0.266650663244059,False,down,False,0,0
NRAS,26,0,0.0,3,0.034458509142053444,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
P4HB,69,0,0.0,6,0.04213163288544751,0.0,0.0,1.0,1.0,False,0.11754313340654256,0.37002098628488145,False,down,False,0,0
PAGR1,41,0,0.0,5,0.0323498044792037,0.0,0.0,1.0,1.0,False,0.6405557265680484,1.0,False,down,False,0,0
PAIP1,8,0,0.0,0,0.0661764705882353,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PAK2,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PAN3,14,0,0.0,1,0.03125,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PCBP1,31,0,0.0,4,0.030607364897178385,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PCBP2,28,0,0.0,3,0.03450704225352113,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
