display_rank	target	target_ensg	orientation	go_id	go_term
176	RNF41	ENSG00000181852	lost_on_activation	GO:0044238	primary metabolic process
176	RNF41	ENSG00000181852	lost_on_activation	GO:0012501	programmed cell death
176	RNF41	ENSG00000181852	lost_on_activation	GO:0023052	signaling
178	RXRA	ENSG00000186350	lost_on_activation	GO:0006351	DNA-templated transcription
178	RXRA	ENSG00000186350	lost_on_activation	GO:0010468	regulation of gene expression
178	RXRA	ENSG00000186350	lost_on_activation	GO:0023052	signaling
179	NHLRC3	ENSG00000188811	lost_on_activation	GO:0044238	primary metabolic process
180	MDM4	ENSG00000198625	lost_on_activation	GO:0022607	cellular component assembly
180	MDM4	ENSG00000198625	lost_on_activation	GO:0010468	regulation of gene expression
180	MDM4	ENSG00000198625	lost_on_activation	GO:0023052	signaling
181	TRAM1	ENSG00000067167	lost_on_activation	GO:0055085	transmembrane transport
182	NFKBIA	ENSG00000100906	lost_on_activation	GO:0010468	regulation of gene expression
182	NFKBIA	ENSG00000100906	lost_on_activation	GO:0023052	signaling
183	IFNG	ENSG00000111537	lost_on_activation	GO:0012501	programmed cell death
183	IFNG	ENSG00000111537	lost_on_activation	GO:0010468	regulation of gene expression
183	IFNG	ENSG00000111537	lost_on_activation	GO:0023052	signaling
184	IFT57	ENSG00000114446	lost_on_activation	GO:0022607	cellular component assembly
184	IFT57	ENSG00000114446	lost_on_activation	GO:0012501	programmed cell death
185	DUSP4	ENSG00000120875	lost_on_activation	GO:0008152	metabolic process
185	DUSP4	ENSG00000120875	lost_on_activation	GO:0023052	signaling
186	STAT4	ENSG00000138378	lost_on_activation	GO:0010468	regulation of gene expression
186	STAT4	ENSG00000138378	lost_on_activation	GO:0023052	signaling
187	WARS1	ENSG00000140105	lost_on_activation	GO:0016070	RNA metabolic process
187	WARS1	ENSG00000140105	lost_on_activation	GO:0023052	signaling
187	WARS1	ENSG00000140105	lost_on_activation	GO:0006412	translation
188	GALM	ENSG00000143891	lost_on_activation	GO:0044238	primary metabolic process
189	NFKBID	ENSG00000167604	lost_on_activation	GO:0010468	regulation of gene expression
189	NFKBID	ENSG00000167604	lost_on_activation	GO:0023052	signaling
190	CENPF	ENSG00000117724	gained_on_activation	GO:0022402	cell cycle process
190	CENPF	ENSG00000117724	gained_on_activation	GO:0022607	cellular component assembly
190	CENPF	ENSG00000117724	gained_on_activation	GO:0010468	regulation of gene expression
190	CENPF	ENSG00000117724	gained_on_activation	GO:0023052	signaling
193	GEMIN4	ENSG00000179409	gained_on_activation	GO:0022607	cellular component assembly
193	GEMIN4	ENSG00000179409	gained_on_activation	GO:0016070	RNA metabolic process
194	CPNE1	ENSG00000214078	gained_on_activation	GO:0006629	lipid metabolic process
194	CPNE1	ENSG00000214078	gained_on_activation	GO:0010468	regulation of gene expression
194	CPNE1	ENSG00000214078	gained_on_activation	GO:0016192	vesicle-mediated transport
195	SPAG5	ENSG00000076382	gained_on_activation	GO:0022402	cell cycle process
196	ARHGEF18	ENSG00000104880	gained_on_activation	GO:0023052	signaling
197	BTN3A3	ENSG00000111801	gained_on_activation	GO:0010468	regulation of gene expression
197	BTN3A3	ENSG00000111801	gained_on_activation	GO:0023052	signaling
198	CCNG1	ENSG00000113328	gained_on_activation	GO:0022402	cell cycle process
199	APOL3	ENSG00000128284	gained_on_activation	GO:0044238	primary metabolic process
200	GLUL	ENSG00000135821	gained_on_activation	GO:0019725	cellular homeostasis
200	GLUL	ENSG00000135821	gained_on_activation	GO:0044238	primary metabolic process
201	ATP8B2	ENSG00000143515	gained_on_activation	GO:0055085	transmembrane transport
202	ANXA5	ENSG00000164111	gained_on_activation	GO:0023052	signaling
203	MAL	ENSG00000172005	gained_on_activation	GO:0012501	programmed cell death
204	DEAF1	ENSG00000177030	gained_on_activation	GO:0006351	DNA-templated transcription
204	DEAF1	ENSG00000177030	gained_on_activation	GO:0010468	regulation of gene expression
205	LITAF	ENSG00000189067	gained_on_activation	GO:0010468	regulation of gene expression
207	VCL	ENSG00000035403	gained_on_activation	GO:0007155	cell adhesion
207	VCL	ENSG00000035403	gained_on_activation	GO:0022607	cellular component assembly
208	GSDMD	ENSG00000104518	gained_on_activation	GO:0022607	cellular component assembly
208	GSDMD	ENSG00000104518	gained_on_activation	GO:0012501	programmed cell death
208	GSDMD	ENSG00000104518	gained_on_activation	GO:0010468	regulation of gene expression
208	GSDMD	ENSG00000104518	gained_on_activation	GO:0055085	transmembrane transport
209	TOP2A	ENSG00000131747	gained_on_activation	GO:0022402	cell cycle process
209	TOP2A	ENSG00000131747	gained_on_activation	GO:0006310	DNA recombination
209	TOP2A	ENSG00000131747	gained_on_activation	GO:0012501	programmed cell death
210	TESPA1	ENSG00000135426	gained_on_activation	GO:0022607	cellular component assembly
211	TIAM1	ENSG00000156299	gained_on_activation	GO:0007155	cell adhesion
211	TIAM1	ENSG00000156299	gained_on_activation	GO:0048870	cell motility
211	TIAM1	ENSG00000156299	gained_on_activation	GO:0022607	cellular component assembly
211	TIAM1	ENSG00000156299	gained_on_activation	GO:0023052	signaling
212	CCNB2	ENSG00000157456	gained_on_activation	GO:0022402	cell cycle process
213	LY6E	ENSG00000160932	gained_on_activation	GO:0023052	signaling
214	DTX3L	ENSG00000163840	gained_on_activation	GO:0006281	DNA repair
214	DTX3L	ENSG00000163840	gained_on_activation	GO:0010468	regulation of gene expression
214	DTX3L	ENSG00000163840	gained_on_activation	GO:0023052	signaling
214	DTX3L	ENSG00000163840	gained_on_activation	GO:0016192	vesicle-mediated transport
215	PLEC	ENSG00000178209	gained_on_activation	GO:0022402	cell cycle process
215	PLEC	ENSG00000178209	gained_on_activation	GO:0048870	cell motility
215	PLEC	ENSG00000178209	gained_on_activation	GO:0022607	cellular component assembly
215	PLEC	ENSG00000178209	gained_on_activation	GO:0006091	generation of precursor metabolites and energy
216	SH3BP1	ENSG00000100092	gained_on_activation	GO:0048870	cell motility
216	SH3BP1	ENSG00000100092	gained_on_activation	GO:0022607	cellular component assembly
216	SH3BP1	ENSG00000100092	gained_on_activation	GO:0023052	signaling
217	UBR2	ENSG00000024048	gained_on_activation	GO:0022402	cell cycle process
217	UBR2	ENSG00000024048	gained_on_activation	GO:0022607	cellular component assembly
217	UBR2	ENSG00000024048	gained_on_activation	GO:0006310	DNA recombination
217	UBR2	ENSG00000024048	gained_on_activation	GO:0010468	regulation of gene expression
219	DNPH1	ENSG00000112667	gained_on_activation	GO:0044238	primary metabolic process
